"Vessel Name","Port Call Type","Port Type","Port At Call",Ata/atd,"Voyage Origin Port","Leg Start Port/anch","In Transit Port Calls",Mmsi,"Voyage Origin Port Atd","Vessel Type - Generic","Capacity - Dwt"
"MF MARSTAL",DEPARTURE,Port,SVENDBORG,"2022-06-27 11:11:00",,,"Not in Transit",219000674,,Passenger,490
SHEARWATER,ARRIVAL,Port,ULLAPOOL,"2022-06-27 11:11:00",ULLAPOOL,ULLAPOOL,"Not in Transit",235001977,"2022-06-27 09:01:00",Passenger,
SCHELDESTAD,DEPARTURE,Port,OSS,"2022-06-27 11:11:00",,,"Not in Transit",205207190,,Cargo,
MOJJNA,DEPARTURE,Port,ASPERO,"2022-06-27 11:11:00",,,"Not in Transit",265738830,,"Pleasure Craft",
"RIVER STAR",DEPARTURE,Port,ZINGST,"2022-06-27 11:11:00",,,"Not in Transit",211543850,,Passenger,
"DM 33",ARRIVAL,Port,SINGAPORE,"2022-06-27 11:11:00","SINGAPORE ANCH","SINGAPORE ANCH","Not in Transit",457004000,"2022-06-27 11:09:00",Passenger,
PATRIOT,ARRIVAL,Port,HARWICH,"2022-06-27 11:11:00",HARWICH,HARWICH,"Not in Transit",244110559,"2022-06-27 06:59:00","Special Craft",143
"RAY STOKERJR.",DEPARTURE,Port,GALVESTON,"2022-06-27 11:11:00",,,"Not in Transit",367151450,,Passenger,
"VB SPARTEL",ARRIVAL,Port,"TANGER MED II","2022-06-27 11:11:00","TANGER MED","TANGER MED","Not in Transit",242906000,"2022-06-27 11:05:00",Tug,
FINNOY,ARRIVAL,Port,VOLDA,"2022-06-27 11:11:00",VOLDA,VOLDA,"Not in Transit",259591000,"2022-06-27 10:45:00",Passenger,1007
ATLANTICJET,ARRIVAL,Port,"POINTE A PITRE","2022-06-27 11:11:00","MARIE GALANTE","MARIE GALANTE","Not in Transit",329003100,"2022-06-27 10:14:00",Passenger,50
"EURO 6",ARRIVAL,Port,PROCIDA,"2022-06-27 11:11:00",POZZUOLI,POZZUOLI,"Not in Transit",247386100,"2022-06-27 10:43:00",Passenger,
"ARGYLL FLYER",ARRIVAL,Port,GOUROCK,"2022-06-27 11:11:00",DUNOON,DUNOON,"Not in Transit",235087611,"2022-06-27 10:54:00",Passenger,72
"BASTO I",DEPARTURE,Port,HORTEN,"2022-06-27 11:11:00",,,"Not in Transit",259401000,,Passenger,1470
"YOUPI II",DEPARTURE,Port,GAETA,"2022-06-27 11:11:00",,,"Not in Transit",227400640,,"Sailing Vessel",
MALAIKA,ARRIVAL,Port,GOTEBORG,"2022-06-27 11:11:00","LILLA EDET","LILLA EDET","Not in Transit",265027970,"2022-06-27 08:08:00","Pleasure Craft",
"SEAL CARR",DEPARTURE,Port,NIGG,"2022-06-27 11:11:00",,,"Not in Transit",235040683,,Tug,107
"PROFESSOR ZAKHAROV",ARRIVAL,Port,YAROSLAVL,"2022-06-27 11:11:00",VYSOTSK,VYSOTSK,"Not in Transit",273383920,"2022-06-22 12:42:00",Tanker,5745
DITZUM,DEPARTURE,Port,DITZUM,"2022-06-27 11:11:00",,,"Not in Transit",211720760,,Passenger,
"BIG BLUE",ARRIVAL,Port,"PORT ELIZABETH","2022-06-27 11:11:00","PORT ELIZABETH","PORT ELIZABETH","Not in Transit",601514200,"2022-06-27 10:07:00","Special Craft",
"PEARL ORIENT",DEPARTURE,Port,BATANGAS,"2022-06-27 11:11:00",,,"Not in Transit",548413700,,Cargo,7376
