Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Singapore,SINGAPORE,SGSIN,1135,1566,1624,1146,8,"SINGAPORE ANCH",Indonesia,"Singapore Area"
Singapore,"SINGAPORE ANCH",,543,1208,1222,84,8,,Indonesia,"Singapore Area"
Indonesia,"BATU AMPAR",IDBUR,199,112,117,39,7,"BATU AMPAR ANCH",Indonesia,"Singapore Area"
Indonesia,JAKARTA,IDJKT,196,126,134,102,7,"JAKARTA ANCH",Indonesia,"Java Sea"
Indonesia,"MUARA BERAU ANCH",IDMUB,189,72,78,6,8,,Indonesia,"Makassar Strait"
Vietnam,"HAI PHONG",VNHPH,171,154,163,57,7,"HAI PHONG ANCH","South-East Asia","South-East Asia"
Vietnam,"HO CHI MINH",VNSGN,170,51,76,59,7,"HO CHI MINH ANCH","South-East Asia","South-East Asia"
Russia,VLADIVOSTOK,RUVVO,159,41,50,66,10,"VLADIVOSTOK ANCH","CIS Pacific","CIS Pacific"
India,"MUMBAI ANCH",,143,44,68,6,5.5,,"West Coast India","West Coast India"
Malaysia,"PORT KLANG",MYPKG,138,90,92,119,8,"PORT KLANG ANCH",Indonesia,"Malacca Strait"
Indonesia,"TABONEO ANCH",IDTAB,123,49,41,26,7,,Indonesia,"Java Sea"
Indonesia,BANJARMASIN,IDBDJ,112,28,55,20,8,"TABONEO ANCH",Indonesia,"Java Sea"
Thailand,BANGKOK,THBKK,99,43,37,42,7,"BANGKOK ANCH","South-East Asia","Gulf of Thailand"
Indonesia,"JAKARTA ANCH",,99,69,74,0,7,,Indonesia,"Java Sea"
Thailand,PHUKET,THHKT,95,24,38,0,7,"PHUKET ANCH","South-East Asia","Andaman Sea"
Vietnam,"DA NANG",VNDAD,90,32,63,12,7,"DA NANG ANCH","South-East Asia","South-East Asia"
Thailand,"SRIRACHA ANCH",,90,50,55,1,7,,"South-East Asia","Gulf of Thailand"
Vietnam,"VUNG TAU",VNVUT,85,97,92,64,7,"VUNG TAU ANCH","South-East Asia","South-East Asia"
Indonesia,SURABAYA,IDSUB,76,53,65,47,7,"SURABAYA ANCH",Indonesia,"Java Sea"
Bangladesh,CHITTAGONG,BDCGP,75,9,9,91,6,"CHITTAGONG ANCH","East Coast India","Bengal Bay"
India,MUNDRA,INMUN,74,36,38,41,5.5,"MUNDRA ANCH","West Coast India","West Coast India"
India,MUMBAI,INBOM,72,63,63,54,5.5,"MUMBAI ANCH","West Coast India","West Coast India"
Philippines,"MANILA ANCH",,71,68,66,2,8,,Philippines,Philippines
India,SIKKA,INSIK,69,11,11,36,5.5,"SIKKA ANCH","West Coast India","West Coast India"
Thailand,"LAEM CHABANG",THLCH,67,48,42,75,7,"LAEM CHABANG ANCH","South-East Asia","Gulf of Thailand"
Myanmar,YANGON,MMRGN,63,8,6,18,6.5,"YANGON ANCH","South-East Asia","Andaman Sea"
Indonesia,"SURABAYA RIVER ANCH",,63,24,28,0,8,,Indonesia,"Java Sea"
India,HAZIRA,INHZR,62,19,21,30,5.5,"HAZIRA ANCH","West Coast India","West Coast India"
Vietnam,"DUNG QUAT",VNDQT,60,28,32,19,7,,"South-East Asia","South-East Asia"
Singapore,CHANGI,SGCHG,60,158,169,14,8,"SINGAPORE ANCH",Indonesia,"Singapore Area"
Indonesia,BUNATI,IDBUT,58,16,27,25,8,,Indonesia,"Java Sea"
Bangladesh,"CHITTAGONG ANCH",,58,9,7,0,6,,"East Coast India","Bengal Bay"
Philippines,CEBU,PHCEB,55,39,41,28,8,"CEBU ANCH",Philippines,Philippines
Vietnam,"NGHI SON",VNNGH,55,22,25,21,7,,"South-East Asia","South-East Asia"
Thailand,SRIRACHA,THSRI,55,51,56,18,7,"SRIRACHA ANCH","South-East Asia","Gulf of Thailand"
Vietnam,"HON GAI ANCH",,55,25,29,1,7,,"South-East Asia","South-East Asia"
Malaysia,"TANJUNG PELEPAS ANCH",,55,39,37,1,8,,Indonesia,"Singapore Area"
India,KOCHI,INCOK,54,24,29,26,5.5,"COCHIN ANCH","West Coast India","West Coast India"
Malaysia,PENANG,MYPEN,53,47,47,12,8,"PENANG ANCH",Indonesia,"Malacca Strait"
"Sri Lanka",COLOMBO,LKCMB,52,14,13,42,5.5,"COLOMBO ANCH","East Coast India","Laccadive Sea"
India,"KANDLA ANCH",,51,29,26,4,5.5,,"West Coast India","West Coast India"
Philippines,MANILA,PHMNL,50,32,39,56,8,"MANILA ANCH",Philippines,Philippines
Russia,PETROPAVLOVSK,RUPKC,50,9,6,16,12,"PETROPAVLOVSK ANCH","CIS Pacific","Bering Sea"
India,KANDLA,INIXY,48,39,38,57,5.5,"KANDLA ANCH","West Coast India","West Coast India"
Malaysia,BINTULU,MYBTU,48,32,41,33,8,"BINTULU ANCH",Indonesia,"Riau Archipelago"
Russia,NAKHODKA,RUNJK,48,19,24,26,10,"NAKHODKA ANCH","CIS Pacific","CIS Pacific"
India,VISAKHAPATNAM,INVTZ,47,17,14,44,5.5,"VISAKHAPATNAM ANCH","East Coast India","Bengal Bay"
Indonesia,SAMARINDA,IDSRI,47,14,20,19,8,"MUARA BERAU ANCH",Indonesia,"Makassar Strait"
Indonesia,KABIL,IDKAB,47,41,49,10,7,"TANJUNG UBAN ANCH",Indonesia,"Singapore Area"
Vietnam,"HO CHI MINH ANCH",,46,53,71,0,7,,"South-East Asia","South-East Asia"
Indonesia,CILEGON,IDCGN,43,4,13,4,7,"CILEGON ANCH",Indonesia,"Java Sea"
Thailand,"MAP TA PHUT",THMAT,42,27,22,25,7,"MAP TA PHUT ANCH","South-East Asia","Gulf of Thailand"
Vietnam,"HON GAI",VNHON,42,24,29,23,7,"HON GAI ANCH","South-East Asia","South-East Asia"
Indonesia,KARIANGAU,IDKRG,42,73,66,1,8,"BALIKPAPAN BAY ANCH",Indonesia,"Makassar Strait"
Malaysia,"TANJUNG PELEPAS",MYTPP,41,60,55,78,8,"TANJUNG PELEPAS ANCH",Indonesia,"Singapore Area"
Indonesia,GRESIK,IDGRE,41,14,22,32,7,"SURABAYA ANCH",Indonesia,"Java Sea"
Indonesia,PALEMBANG,IDPLM,41,15,10,29,7,"PALEMBANG ANCH",Indonesia,"Java Sea"
