,Year,Week,Median_Waiting_Time_Off_Port_Limits,Median_Time_At_Port,Median_Waiting_Time_Off_Port_Limits__Standard_Deviation_,Time_At_Port_Standard_Deviation,Median_Waiting_Time_Off_Port_Limits_Difference_(week-to-week),Waiting_Time_Off_Port_Limits__%_Difference_(week-to-week),Time_At_Port_Difference_(week-to-week),Time_At_Port_%_Difference_(week-to-week),Number_Of_Calls,Number_Of_Vessels
Year,1.0,-0.8766074958603125,-0.29992713879727717,0.020047891626539124,0.1137585952765249,0.0697681121468396,0.05760686869553273,0.06559848173969852,-0.056767529329459644,-0.06823351909427,0.03133623975354205,0.030410816763112802
Week,-0.8766074958603125,1.0,0.24093170318452556,-0.03673098496599062,-0.1164188261276351,-0.03776849451308758,-0.07350504161697892,-0.024529445052592462,0.05065615070309711,0.029092989492854972,-0.03540847182893253,-0.03505950362889103
Median_Waiting_Time_Off_Port_Limits,-0.29992713879727717,0.24093170318452556,1.0,0.4446412799221616,0.13259306216508085,0.17516980913406308,0.5138983930996757,0.3791866821169137,0.12542127380097265,0.1863771991082544,0.13416398229281118,0.1364514653121204
Median_Time_At_Port,0.020047891626539124,-0.03673098496599062,0.4446412799221616,1.0,0.45717271156348516,0.5457669594642413,-0.001812145298921968,-0.07409659529503139,0.14036075480318505,0.3225717078666856,0.563483582100621,0.5676277761492498
Median_Waiting_Time_Off_Port_Limits__Standard_Deviation_,0.1137585952765249,-0.1164188261276351,0.13259306216508085,0.45717271156348516,1.0,0.5364029833815674,0.07473696417389145,-0.05300504129599351,0.022211212290832845,0.1525456676253391,0.7157096475603825,0.7187114088381633
Time_At_Port_Standard_Deviation,0.0697681121468396,-0.03776849451308758,0.17516980913406308,0.5457669594642413,0.5364029833815674,1.0,-0.04132482026060902,-0.14367537199271846,0.03487747653155492,0.14511786577762167,0.7030629929429213,0.7063544203537837
Median_Waiting_Time_Off_Port_Limits_Difference_(week-to-week),0.05760686869553273,-0.07350504161697892,0.5138983930996757,-0.001812145298921968,0.07473696417389145,-0.04132482026060902,1.0,0.6574061437683325,0.0817402610951585,0.03759596296437642,-0.00415214616660632,-0.003497497102132271
Waiting_Time_Off_Port_Limits__%_Difference_(week-to-week),0.06559848173969852,-0.024529445052592462,0.3791866821169137,-0.07409659529503139,-0.05300504129599351,-0.14367537199271846,0.6574061437683325,1.0,0.13874725503163643,0.1212813598749715,-0.14906012356729928,-0.1492879559133009
Time_At_Port_Difference_(week-to-week),-0.056767529329459644,0.05065615070309711,0.12542127380097265,0.14036075480318505,0.022211212290832845,0.03487747653155492,0.0817402610951585,0.13874725503163643,1.0,0.6352489534789896,0.016021691466870765,0.019539758160788463
Time_At_Port_%_Difference_(week-to-week),-0.06823351909427,0.029092989492854972,0.1863771991082544,0.3225717078666856,0.1525456676253391,0.14511786577762167,0.03759596296437642,0.1212813598749715,0.6352489534789896,1.0,0.12926628982976232,0.1322464370193304
Number_Of_Calls,0.03133623975354205,-0.03540847182893253,0.13416398229281118,0.563483582100621,0.7157096475603825,0.7030629929429213,-0.00415214616660632,-0.14906012356729928,0.016021691466870765,0.12926628982976232,1.0,0.9994719073645523
Number_Of_Vessels,0.030410816763112802,-0.03505950362889103,0.1364514653121204,0.5676277761492498,0.7187114088381633,0.7063544203537837,-0.003497497102132271,-0.1492879559133009,0.019539758160788463,0.1322464370193304,0.9994719073645523,1.0
