Port,Year,Week,"Commercial Market","Commercial Size Class"," Median Waiting Time Off Port Limits","Waiting Time Off Port Limits Confidence Score ","Median Time At Port","Time At Port Confidence Score","Median Waiting Time Off Port Limits  Standard Deviation ","Time At Port Standard Deviation","Median Waiting Time Off Port Limits Difference (week-to-week)","Waiting Time Off Port Limits  % Difference (week-to-week)","Time At Port Difference (week-to-week)","Time At Port % Difference (week-to-week)","Number Of Calls","Number Of Vessels","Port Country",Unlocode
Wayame,2022,24,ALL,ALL,1.2,HIGH,1.1,HIGH,7.3,6.0,0.6,100.0,0.1,10.0,16,15,Indonesia,
Waingapu,2022,24,ALL,ALL,0.2,LOW,0.3,LOW,,0.3,-1.0,-83.3,-0.2,-40.0,3,3,Indonesia,IDWGP
Tuban,2022,24,ALL,ALL,0.7,LOW,1.3,LOW,1.3,7.0,-0.5,-41.7,0.0,0.0,16,14,Indonesia,IDTBN
Tual,2022,24,ALL,ALL,1.3,LOW,3.7,LOW,2.0,17.9,0.7,116.7,-14.7,-79.9,22,11,Indonesia,IDTUA
Tolitoli,2022,24,ALL,ALL,,MEDIUM,2.0,MEDIUM,,,,,0.2,11.1,1,1,Indonesia,IDTLI
Ternate,2022,24,ALL,ALL,1.8,MEDIUM,0.9,MEDIUM,0.9,1.1,0.0,0.0,0.1,12.5,13,6,Indonesia,IDTTE
Telukbayur,2022,24,ALL,ALL,2.8,LOW,1.3,LOW,3.8,3.9,1.6,133.3,0.0,0.0,29,28,Indonesia,IDTBR
Tarjun,2022,24,ALL,ALL,2.5,LOW,2.0,LOW,8.6,0.7,0.8,47.1,0.2,11.1,6,6,Indonesia,IDTAR
Tarakan,2022,24,ALL,ALL,0.8,LOW,0.9,LOW,,1.4,0.5,166.7,-1.1,-55.0,3,3,Indonesia,IDTRK
Tarahan,2022,24,ALL,ALL,1.2,LOW,1.4,LOW,2.9,15.1,0.4,50.0,0.0,0.0,15,12,Indonesia,IDTRH
"Tanjung uban",2022,24,ALL,ALL,0.8,LOW,0.0,LOW,1.5,0.9,-0.5,-38.5,-0.1,-100.0,50,13,Indonesia,IDITN
"Tanjung pinang",2022,24,ALL,ALL,,MEDIUM,0.7,MEDIUM,,0.1,,,0.0,0.0,4,1,Indonesia,IDTNJ
"Tanjung pemancingan",2022,24,ALL,ALL,,MEDIUM,1.4,MEDIUM,,0.6,,,-1.5,-51.7,2,2,Indonesia,IDTPN
"Tanjung jati",2022,24,ALL,ALL,,MEDIUM,3.0,MEDIUM,,0.4,,,0.0,0.0,2,2,Indonesia,
"Tanjung bara",2022,24,ALL,ALL,1.8,LOW,1.1,LOW,27.4,0.9,0.0,0.0,0.2,22.2,10,10,Indonesia,IDTBA
Tangguh,2022,24,ALL,ALL,2.6,LOW,1.5,LOW,1.2,0.9,1.9,271.4,0.1,7.1,3,3,Indonesia,
Suralaya,2022,24,ALL,ALL,0.8,LOW,1.7,LOW,1.1,1.9,-0.1,-11.1,0.2,13.3,16,14,Indonesia,IDSRL
Surabaya,2022,24,ALL,ALL,1.2,MEDIUM,0.8,MEDIUM,5.3,4.9,0.5,71.4,0.0,0.0,222,153,Indonesia,IDSUB
"Sungai pakning",2022,24,ALL,ALL,,LOW,1.6,LOW,,0.1,,,0.2,14.3,2,2,Indonesia,IDSEQ
Sorong,2022,24,ALL,ALL,,LOW,1.7,LOW,,5.8,,,0.6,54.5,6,5,Indonesia,IDSOQ
Sibolga,2022,24,ALL,ALL,,LOW,54.3,LOW,,19.9,,,8.0,17.3,7,2,Indonesia,IDSLG
Semarang,2022,24,ALL,ALL,1.1,LOW,0.9,LOW,4.2,1.2,0.4,57.1,0.1,12.5,37,31,Indonesia,IDSRG
Saumlaki,2022,24,ALL,ALL,,LOW,1.9,LOW,,,,,0.6,46.1,1,1,Indonesia,IDSXK
Sampit,2022,24,ALL,ALL,0.6,LOW,0.9,LOW,0.4,5.8,-0.1,-14.3,-2.1,-70.0,15,14,Indonesia,IDSMQ
Samarinda,2022,24,ALL,ALL,0.7,HIGH,1.0,HIGH,0.0,2.8,0.1,16.7,0.0,0.0,18,17,Indonesia,IDSRI
Pontianak,2022,24,ALL,ALL,0.5,LOW,2.2,LOW,0.7,7.4,0.0,0.0,0.2,10.0,30,27,Indonesia,IDPNK
Pomako,2022,24,ALL,ALL,1.0,MEDIUM,2.2,MEDIUM,1.9,1.7,0.1,11.1,0.7,46.7,8,8,Indonesia,IDPMK
Panjang,2022,24,ALL,ALL,1.5,HIGH,1.7,HIGH,1.5,1.4,1.1,275.0,-0.1,-5.6,29,25,Indonesia,IDPNJ
"Pangkalan susu",2022,24,ALL,ALL,0.9,MEDIUM,1.1,MEDIUM,0.1,0.6,-0.1,-10.0,0.1,10.0,3,1,Indonesia,IDPKS
Palopo,2022,24,ALL,ALL,,MEDIUM,1.3,MEDIUM,,,,,0.3,30.0,1,1,Indonesia,IDPPO
